experiment_id,experiment_group,protocol_version,dataset,outer_target,method,trainer_method,backbone,trainer_model,preprocessing,seed,optimization_seed,source_split_seed,lambda_f,lambda_k,temperature,augmentation_M,selection_protocol,pretrained_weights_sha256,config_hash,dataset_fingerprint,status,result_path,checkpoint_path,gpu,exit_code,rerun_reason
vit-direct-strong_aug-Cartoon-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,320038c5466581bbce25afdaec8d4d797cbaff8afc93b770d0649569d001ddbf,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Cartoon/42/Cartoon_vit-small_strong_aug_seed42.json,runs/revision/vit_direct/strong_aug/Cartoon/42/Cartoon_vit-small_strong_aug_seed42.pt,1,0,
vit-direct-strong_aug-Cartoon-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,b9cea5c7af26f47a502cf24df2a382cc034cf37357c990dc2a8eed8640d83326,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Cartoon/123/Cartoon_vit-small_strong_aug_seed123.json,runs/revision/vit_direct/strong_aug/Cartoon/123/Cartoon_vit-small_strong_aug_seed123.pt,2,0,
vit-direct-strong_aug-Cartoon-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,9f61f0980df983109f2df204ae26c4459fd4c7ff64420293275b3695dcf06828,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Cartoon/3407/Cartoon_vit-small_strong_aug_seed3407.json,runs/revision/vit_direct/strong_aug/Cartoon/3407/Cartoon_vit-small_strong_aug_seed3407.pt,1,0,
vit-direct-strong_aug-Cartoon-seed2026,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,c2317ad85b44ff9caea19369568512a601743938dc67bf4ea548331c26546bfa,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Cartoon/2026/Cartoon_vit-small_strong_aug_seed2026.json,runs/revision/vit_direct/strong_aug/Cartoon/2026/Cartoon_vit-small_strong_aug_seed2026.pt,2,0,
vit-direct-strong_aug-Cartoon-seed2027,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,b6a97f35c2a262391e270c70df8e06e18c7cffc14f4a33084a797f5954935015,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Cartoon/2027/Cartoon_vit-small_strong_aug_seed2027.json,runs/revision/vit_direct/strong_aug/Cartoon/2027/Cartoon_vit-small_strong_aug_seed2027.pt,1,0,
vit-direct-strong_aug-Sketch-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Sketch,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,9fb91c3de8845fa0238c2cfc1cb0dc6483c13b1e3074e5d447b94b3ff1f8dcd8,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Sketch/42/Sketch_vit-small_strong_aug_seed42.json,runs/revision/vit_direct/strong_aug/Sketch/42/Sketch_vit-small_strong_aug_seed42.pt,2,0,
vit-direct-strong_aug-Sketch-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Sketch,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,632f6874d6682365bb00b1458677fc841cdfae5863d1f66724e3147e70ba4092,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Sketch/123/Sketch_vit-small_strong_aug_seed123.json,runs/revision/vit_direct/strong_aug/Sketch/123/Sketch_vit-small_strong_aug_seed123.pt,2,0,
vit-direct-strong_aug-Sketch-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Sketch,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,d6a62283bd58510c149100464a3d6a8f7fb14f79136a7f3c72da09cac19c94ab,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Sketch/3407/Sketch_vit-small_strong_aug_seed3407.json,runs/revision/vit_direct/strong_aug/Sketch/3407/Sketch_vit-small_strong_aug_seed3407.pt,1,0,
vit-direct-strong_aug-Sketch-seed2026,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Sketch,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2026,2026,2026,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,8abf04e299a278fca6a00a9564c7401dfbae6e5dd3b55ad64f8700fcdcbdada5,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Sketch/2026/Sketch_vit-small_strong_aug_seed2026.json,runs/revision/vit_direct/strong_aug/Sketch/2026/Sketch_vit-small_strong_aug_seed2026.pt,2,0,
vit-direct-strong_aug-Sketch-seed2027,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Sketch,strong_aug,aug,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2027,2027,2027,0.0,0.0,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,b2753244bfc81b6474da24693e94653c1a1a05b95c9106e33f1def5f12c40700,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/strong_aug/Sketch/2027/Sketch_vit-small_strong_aug_seed2027.json,runs/revision/vit_direct/strong_aug/Sketch/2027/Sketch_vit-small_strong_aug_seed2027.pt,1,0,
vit-direct-feature_plus_kl-Photo-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,c44a24d5d8f8fe3886fa2fb873995943da10b5c6358b147afd30df848f822401,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Photo/42/Photo_vit-small_feature_plus_kl_seed42.json,runs/revision/vit_direct/feature_plus_kl/Photo/42/Photo_vit-small_feature_plus_kl_seed42.pt,2,0,
vit-direct-feature_plus_kl-Photo-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,3de9b2807d216775e07499b710d2d4ca35b88d143f542a8860b05b200a2dd43e,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Photo/123/Photo_vit-small_feature_plus_kl_seed123.json,runs/revision/vit_direct/feature_plus_kl/Photo/123/Photo_vit-small_feature_plus_kl_seed123.pt,1,0,
vit-direct-feature_plus_kl-Photo-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,59ccfdf1d5d5f9a41929a30859f0598e2402c190300864f90e7ea0d79025579f,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Photo/3407/Photo_vit-small_feature_plus_kl_seed3407.json,runs/revision/vit_direct/feature_plus_kl/Photo/3407/Photo_vit-small_feature_plus_kl_seed3407.pt,2,0,
vit-direct-feature_plus_kl-Photo-seed2026,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2026,2026,2026,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,d44861cf82dec7ec8584a4d93eecc8818d0104bba56e3e096eae0c5c28cd4bcc,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Photo/2026/Photo_vit-small_feature_plus_kl_seed2026.json,runs/revision/vit_direct/feature_plus_kl/Photo/2026/Photo_vit-small_feature_plus_kl_seed2026.pt,1,0,
vit-direct-feature_plus_kl-Photo-seed2027,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Photo,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2027,2027,2027,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,fdafb7b5f4c65816ca2821b584b03c289902ee64b6fd71b77715ca7906ebb9da,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Photo/2027/Photo_vit-small_feature_plus_kl_seed2027.json,runs/revision/vit_direct/feature_plus_kl/Photo/2027/Photo_vit-small_feature_plus_kl_seed2027.pt,2,0,
vit-direct-feature_plus_kl-Art_Painting-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,df6fa9cb6fc7836dede28ef04f6950560ac69d5eec003cad778a0b380e952a2d,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Art_Painting/42/Art_Painting_vit-small_feature_plus_kl_seed42.json,runs/revision/vit_direct/feature_plus_kl/Art_Painting/42/Art_Painting_vit-small_feature_plus_kl_seed42.pt,1,0,
vit-direct-feature_plus_kl-Art_Painting-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,eec350fd9db4c4a59db1530df162d217cf6f346fe60d92f02ce4e5e70d1a1d9a,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Art_Painting/123/Art_Painting_vit-small_feature_plus_kl_seed123.json,runs/revision/vit_direct/feature_plus_kl/Art_Painting/123/Art_Painting_vit-small_feature_plus_kl_seed123.pt,2,0,
vit-direct-feature_plus_kl-Art_Painting-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,2d83f8b15b5c8f0ab63f8d237f0d1623f6c52ce15cce4bb5cc454d90cc60308e,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Art_Painting/3407/Art_Painting_vit-small_feature_plus_kl_seed3407.json,runs/revision/vit_direct/feature_plus_kl/Art_Painting/3407/Art_Painting_vit-small_feature_plus_kl_seed3407.pt,1,0,
vit-direct-feature_plus_kl-Art_Painting-seed2026,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2026,2026,2026,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,9c4299693a8e79bf575d5148bd98df5cddf02b0036eb87b8e28c0816d161d95c,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Art_Painting/2026/Art_Painting_vit-small_feature_plus_kl_seed2026.json,runs/revision/vit_direct/feature_plus_kl/Art_Painting/2026/Art_Painting_vit-small_feature_plus_kl_seed2026.pt,2,0,
vit-direct-feature_plus_kl-Art_Painting-seed2027,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Art_Painting,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,2027,2027,2027,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,a3b511d75adac9e13d45c6912e147f0ccc287fa2601ffa155733a44682fb523c,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Art_Painting/2027/Art_Painting_vit-small_feature_plus_kl_seed2027.json,runs/revision/vit_direct/feature_plus_kl/Art_Painting/2027/Art_Painting_vit-small_feature_plus_kl_seed2027.pt,1,0,
vit-direct-feature_plus_kl-Cartoon-seed42,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,42,42,42,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,49197e8c787a72e54f4f7a7ba86ef6024215c2e751fb3b31b25b987c4532dfb6,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Cartoon/42/Cartoon_vit-small_feature_plus_kl_seed42.json,runs/revision/vit_direct/feature_plus_kl/Cartoon/42/Cartoon_vit-small_feature_plus_kl_seed42.pt,2,0,
vit-direct-feature_plus_kl-Cartoon-seed123,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,123,123,123,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,be2b217eafdf9adaac6bd2ad009dc87e2203948412f7e408211cc3ed358aa9a0,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Cartoon/123/Cartoon_vit-small_feature_plus_kl_seed123.json,runs/revision/vit_direct/feature_plus_kl/Cartoon/123/Cartoon_vit-small_feature_plus_kl_seed123.pt,1,0,
vit-direct-feature_plus_kl-Cartoon-seed3407,P0_exact_ViT_S16_direct_comparison,shiftguard-vit-direct-v1.0,PACS,Cartoon,feature_plus_kl,feat_kl,timm:vit_small_patch16_224.augreg_in21k_ft_in1k,vit-small,timm_vit_standard,3407,3407,3407,0.1,0.05,2.0,9,highest_source_validation_accuracy_earliest_exact_tie,545815b4e770d2fa6ca4b3ccba7c16b035e474354e52d17ca197ea4efecbf4d3,04ec9125368fe803d9b70eae8c38b7d251f5b7d3af274abf3fa6aade7cee6ff5,0bf5c7c27adc749784847956396a31bd4d1472884e6316b0c11470258ba03244,complete,runs/revision/vit_direct/feature_plus_kl/Cartoon/3407/Cartoon_vit-small_feature_plus_kl_seed3407.json,runs/revision/vit_direct/feature_plus_kl/Cartoon/3407/Cartoon_vit-small_feature_plus_kl_seed3407.pt,2,0,
